trade_num,entry_time,exit_time,entry_date,side,entry_sig,exit_sig,entry_price,exit_price,pnl_usd,pts,win,exit_class,mfe_pts,mae_pts,conf,rsi,rsi_os,rsi_ob,adx,adx_opt,macd,drsi,cloud,vwap,research_bucket
,2026-05-14T13:46:00,2026-05-14T13:51:00,2026-05-14,Short,CR3_WU|c2|r67.2|a20.5|m13.26|d1.03|Bb,WS_Exit,29716.25,29736.5,,-20.25,false,SL_20,5.19,20.56,2,67.2,false,false,20.5,true,13.26,1.03,BULL,below,W_U_2
,2026-05-14T14:05:00,2026-05-14T14:15:00,2026-05-14,Long,CR3_WL|c5|r37.2|a19.5|m13.2|d-2.43|BA,WL_Exit,29664.25,29704.25,,40,true,TP_40,39.69,19.81,5,37.2,false,false,19.5,true,13.2,-2.43,BULL,above,W_L_3+
,2026-05-14T14:41:00,2026-05-14T14:56:00,2026-05-14,Long,CR3_WL|c4|r46.6|a18.5|m8.49|d-0.11|BA,WL_Exit,29674.75,29714.75,,40,true,TP_40,39.69,19.56,4,46.6,false,false,18.5,true,8.49,-0.11,BULL,above,W_L_3+
,2026-05-14T15:14:00,2026-05-14T15:15:00,2026-05-14,Long,CR3_WL|c3|r48.4|a17.6|m7.01|d-0.65|BA,ADX_Block,29706.25,29708.75,,2.5,true,ADX_Block,6.69,5.31,3,48.4,false,false,17.6,false,7.01,-0.65,BULL,above,W_L_3+
,2026-05-14T15:29:00,2026-05-14T15:30:00,2026-05-14,Long,CR3_WL|c3|r40.6|a17|m4.78|d-0.51|BA,ADX_Block,29699.5,29712.5,,13,true,ADX_Block,13.44,3.56,3,40.6,false,false,17,false,4.78,-0.51,BULL,above,W_L_3+
,2026-05-14T15:52:00,2026-05-14T15:53:00,2026-05-14,Long,CR3_WL|c3|r41.8|a17|m4.78|d-0.9|BA,ADX_Block,29699.25,29710.5,,11.25,true,ADX_Block,12.19,1.31,3,41.8,false,false,17,false,4.78,-0.9,BULL,above,W_L_3+
,2026-05-14T16:16:00,2026-05-14T16:17:00,2026-05-14,Long,CR3_WL|c3|r38.6|a16.2|m1.98|d-0.75|BA,ADX_Block,29688.5,29698,,9.5,true,ADX_Block,10.44,2.31,3,38.6,false,false,16.2,false,1.98,-0.75,BULL,above,W_L_3+
,2026-05-14T16:41:00,2026-05-14T16:42:00,2026-05-14,Long,CR3_WL|c2|r39.5|a15.3|m-0.54|d-0.67|BA,ADX_Block,29661.75,29666.25,,4.5,true,ADX_Block,6.19,4.06,2,39.5,false,false,15.3,false,-0.54,-0.67,BULL,above,W_L_2
,2026-05-14T16:58:00,2026-05-14T16:59:00,2026-05-14,Short,CR3_WU|c1|r56.6|a15.3|m-0.54|d0.67|Bb,ADX_Block,29679.5,29689.25,,-9.75,false,ADX_Block,1.44,10.06,1,56.6,false,false,15.3,false,-0.54,0.67,BULL,below,W_U_1
,2026-05-15T10:48:00,2026-05-15T10:50:00,2026-05-15,Long,CR3_WL|c1|r44.3|a35|m4.27|d-0.66|Ra,WL_Exit,29294,29273.75,,-20.25,false,SL_20,5.44,20.56,1,44.3,false,false,35,true,4.27,-0.66,BEAR,above,W_L_1
,2026-05-15T11:06:00,2026-05-15T11:09:00,2026-05-15,Long,CR3_WL|c2|r38.3|a33.6|m9.16|d-0.52|Ra,WL_Exit,29255.25,29295.25,,40,true,TP_40,39.69,15.56,2,38.3,false,false,33.6,true,9.16,-0.52,BEAR,above,W_L_2
,2026-05-15T11:22:00,2026-05-15T11:25:00,2026-05-15,Short,CR3_WU|c2|r63.2|a33.6|m9.16|d0.51|Rb,WS_Exit,29346.75,29306.75,,40,true,TP_40,39.69,8.81,2,63.2,false,false,33.6,true,9.16,0.51,BEAR,below,W_U_2
